id,nome_usuario,titulo_midia,tipo_midia,estrelas,comentario,deleted
37,Ana Sophia Albuquerque,O Clone,Novela,4,"Quase perfeito, vale muito a pena.",False
38,Ágatha Leão,Demon Slayer,Anime,5,Recomendo para todo mundo!,False
39,Rhavi da Costa,Senhora do Destino,Novela,4,Surpreendeu positivamente.,False
40,Camila da Cunha,O Clone,Novela,1,"Péssimo, perdi meu tempo.",False
41,Dra. Emanuelly Sousa,Parasita,Filme,3,"Bom, mas nada de especial.",False
42,Dr. Emanuel Porto,A Origem,Filme,5,Recomendo para todo mundo!,False
43,Letícia Santos,Jujutsu Kaisen,Anime,1,"Péssimo, perdi meu tempo.",False
44,Mirella Peixoto,Vale Tudo,Novela,3,Tem seus altos e baixos.,False
45,Esther Nascimento,Senhora do Destino,Novela,1,"Terrível, um dos piores que já vi.",False
46,Lucas Campos,Pulp Fiction,Filme,2,Não funcionou pra mim.,False
47,Maria Clara Garcia,Black Mirror,Série,1,"Péssimo, perdi meu tempo.",False
48,Luiz Miguel Brito,Interestelar,Filme,2,Não gostei muito.,False
49,Maria Laura Brito,Jujutsu Kaisen,Anime,5,Top 10 da minha vida.,False
50,Enzo da Luz,Black Mirror,Série,2,Não funcionou pra mim.,False
51,João Nogueira,Cidade de Deus,Filme,3,Divertido para passar o tempo.,False
52,Sr. Rodrigo Ramos,Dark,Série,5,"Incrível, assistiria de novo.",False
53,Diego Correia,O Clone,Novela,3,Tem seus altos e baixos.,False
54,Fernando Lopes,The Office,Série,1,"Péssimo, perdi meu tempo.",False
55,Eloah da Cruz,Pulp Fiction,Filme,1,Muito ruim.,False
56,Carolina Ramos,Cidade de Deus,Filme,5,"Incrível, assistiria de novo.",False
57,Ravy Caldeira,Batman: O Cavaleiro das Trevas,Filme,4,Ótima história e personagens.,False
58,Nina Moura,Jujutsu Kaisen,Anime,2,Não gostei muito.,False
59,Gael Henrique Aparecida,O Clone,Novela,2,"Esperava bem mais, foi uma decepção.",False
60,Emanuel Sales,A Origem,Filme,1,Não recomendo de jeito nenhum.,False
61,Ágatha Araújo,Avenida Brasil,Novela,1,"Terrível, um dos piores que já vi.",False
62,João Gabriel da Luz,Black Mirror,Série,3,"É ok, mas não me marcou.",False
63,Rodrigo Fonseca,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Não recomendo de jeito nenhum.,False
64,Luiz Felipe da Cruz,Vale Tudo,Novela,3,"Bom, mas nada de especial.",False
65,Lavínia Sá,Senhora do Destino,Novela,3,"É ok, mas não me marcou.",False
66,Dra. Maria Julia Pimenta,Game of Thrones,Série,5,Sensacional!,False
67,Mathias Santos,Death Note,Anime,5,Perfeito! Uma obra-prima.,False
68,Leonardo Macedo,Batman: O Cavaleiro das Trevas,Filme,4,Ótima história e personagens.,False
69,Fernanda Machado,Attack on Titan,Anime,4,"Muito bom, gostei bastante.",False
70,Amanda Fernandes,Stranger Things,Série,2,Não gostei muito.,False
71,Elisa Vargas,Cidade de Deus,Filme,1,Muito ruim.,False
72,Josué Peixoto,Parasita,Filme,5,Perfeito! Uma obra-prima.,False
73,Apollo Souza,Cidade de Deus,Filme,4,Surpreendeu positivamente.,False
74,Sarah Moreira,O Poderoso Chefão,Filme,1,"Péssimo, perdi meu tempo.",False
75,Benício Cassiano,Parasita,Filme,5,Recomendo para todo mundo!,False
76,Luiz Otávio Sales,Breaking Bad,Série,4,Ótima história e personagens.,False
77,Maria Luiza Cunha,O Senhor dos Anéis: O Retorno do Rei,Filme,5,"Incrível, assistiria de novo.",False
78,Rafaela Vargas,Cidade de Deus,Filme,5,Sensacional!,False
79,Gustavo Henrique Barros,The Office,Série,3,Divertido para passar o tempo.,False
80,Henrique Marques,Death Note,Anime,2,Não funcionou pra mim.,False
81,Dr. Otávio Costela,The Office,Série,3,"Bom, mas nada de especial.",False
82,Laura Pastor,A Viagem de Chihiro,Filme,2,"Esperava bem mais, foi uma decepção.",False
83,Gael Henrique Moraes,Fullmetal Alchemist: Brotherhood,Anime,1,Não recomendo de jeito nenhum.,False
84,Lucca Jesus,Interestelar,Filme,2,Achei a premissa fraca.,False
85,Alexandre da Mata,A Origem,Filme,4,"Muito bom, gostei bastante.",False
86,Ana Luiza Farias,Dark,Série,5,Top 10 da minha vida.,False
87,Dr. Leonardo Sampaio,Demon Slayer,Anime,1,Muito ruim.,False
88,Manuella da Costa,Breaking Bad,Série,3,"É ok, mas não me marcou.",False
89,Clara Casa Grande,Stranger Things,Série,1,Muito ruim.,False
90,Cauã Borges,Fullmetal Alchemist: Brotherhood,Anime,5,Top 10 da minha vida.,False
91,Dra. Mariah Vasconcelos,Avenida Brasil,Novela,3,Tem seus altos e baixos.,False
92,Maria Cecília Borges,A Viagem de Chihiro,Filme,3,"É ok, mas não me marcou.",False
93,Apollo da Rocha,Cidade de Deus,Filme,5,Recomendo para todo mundo!,False
94,Bruna Moreira,A Viagem de Chihiro,Filme,1,Muito ruim.,False
95,Leonardo Cirino,A Origem,Filme,4,"Quase perfeito, vale muito a pena.",False
96,Gustavo Henrique das Neves,Interestelar,Filme,3,"Bom, mas nada de especial.",False
97,Ravi Lucca Nogueira,Fullmetal Alchemist: Brotherhood,Anime,3,Tem seus altos e baixos.,False
98,Aurora da Mota,Pulp Fiction,Filme,3,Divertido para passar o tempo.,False
99,Stella Nascimento,Pulp Fiction,Filme,2,Não gostei muito.,False
100,Sara da Cruz,Fullmetal Alchemist: Brotherhood,Anime,5,Sensacional!,False
101,Eduarda Ferreira,Black Mirror,Série,3,Tem seus altos e baixos.,False
102,Maria Vitória Azevedo,The Office,Série,3,"É ok, mas não me marcou.",False
103,João Gabriel Farias,Naruto,Anime,5,Recomendo para todo mundo!,False
104,Marina Cassiano,Vale Tudo,Novela,1,"Terrível, um dos piores que já vi.",False
105,Ana Cecília Jesus,Avenida Brasil,Novela,3,"Bom, mas nada de especial.",False
106,Dr. Bryan Vargas,The Office,Série,2,"Esperava bem mais, foi uma decepção.",False
107,José Monteiro,Pulp Fiction,Filme,2,Achei a premissa fraca.,False
108,Matteo Farias,Fullmetal Alchemist: Brotherhood,Anime,1,"Péssimo, perdi meu tempo.",False
109,Sabrina Pastor,Interestelar,Filme,4,Surpreendeu positivamente.,False
110,Calebe Jesus,A Viagem de Chihiro,Filme,4,"Quase perfeito, vale muito a pena.",False
111,Dr. Raul Sales,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Muito ruim.,False
112,Dra. Lorena Melo,Cidade de Deus,Filme,1,"Terrível, um dos piores que já vi.",False
113,Dr. Asafe Albuquerque,Black Mirror,Série,4,Ótima história e personagens.,False
114,Enrico Ribeiro,A Origem,Filme,1,Não recomendo de jeito nenhum.,False
115,Maria Cecília Nascimento,The Office,Série,5,Sensacional!,False
116,Kamilly Barros,Pulp Fiction,Filme,5,Perfeito! Uma obra-prima.,False
117,Dr. Davi Lucas Viana,A Viagem de Chihiro,Filme,4,"Muito bom, gostei bastante.",False
118,Dom da Costa,Vale Tudo,Novela,4,"Quase perfeito, vale muito a pena.",False
119,Lara Gonçalves,Fullmetal Alchemist: Brotherhood,Anime,3,Divertido para passar o tempo.,False
120,Sra. Isadora Monteiro,O Poderoso Chefão,Filme,5,Top 10 da minha vida.,False
121,Gabriel Câmara,Attack on Titan,Anime,4,Surpreendeu positivamente.,False
122,Luiz Gustavo Rocha,O Clone,Novela,1,"Terrível, um dos piores que já vi.",False
123,Emanuelly Andrade,O Clone,Novela,1,Muito ruim.,False
124,Leonardo Ramos,Fullmetal Alchemist: Brotherhood,Anime,5,Recomendo para todo mundo!,False
125,Srta. Alana Moreira,Fullmetal Alchemist: Brotherhood,Anime,5,Recomendo para todo mundo!,False
126,Dra. Mirella Machado,Pulp Fiction,Filme,4,"Muito bom, gostei bastante.",False
127,Dra. Sophia Marques,Breaking Bad,Série,1,"Terrível, um dos piores que já vi.",False
128,Nina Sampaio,Vale Tudo,Novela,3,Tem seus altos e baixos.,False
129,Gabriela da Paz,Cidade de Deus,Filme,4,Surpreendeu positivamente.,False
130,Dr. Dante Abreu,O Senhor dos Anéis: O Retorno do Rei,Filme,3,Divertido para passar o tempo.,False
131,Rael Vargas,Avenida Brasil,Novela,3,"Bom, mas nada de especial.",False
132,Josué da Costa,Batman: O Cavaleiro das Trevas,Filme,1,Não recomendo de jeito nenhum.,False
133,Beatriz Castro,The Office,Série,1,"Terrível, um dos piores que já vi.",False
134,Emanuella Garcia,Dark,Série,5,Perfeito! Uma obra-prima.,False
135,Bento Lopes,Demon Slayer,Anime,2,"Esperava bem mais, foi uma decepção.",False
136,Amanda Sá,Cidade de Deus,Filme,1,Muito ruim.,False
137,Brenda Gonçalves,Batman: O Cavaleiro das Trevas,Filme,2,Não funcionou pra mim.,False
138,Isabela Aparecida,Breaking Bad,Série,3,"É ok, mas não me marcou.",False
139,Josué Jesus,Vale Tudo,Novela,2,Não funcionou pra mim.,False
140,Juliana Pacheco,A Origem,Filme,4,"Muito bom, gostei bastante.",False
141,Dr. Murilo Gonçalves,O Senhor dos Anéis: O Retorno do Rei,Filme,4,Ótima história e personagens.,False
142,Enzo Gabriel Moura,O Clone,Novela,3,Divertido para passar o tempo.,False
143,Davi Lucas Nascimento,Cidade de Deus,Filme,2,Não gostei muito.,False
144,Davi Lucca Mendonça,O Poderoso Chefão,Filme,5,Perfeito! Uma obra-prima.,False
145,Sra. Nina Novaes,Matrix,Filme,2,Achei a premissa fraca.,False
146,Ana Júlia Siqueira,Dark,Série,4,"Quase perfeito, vale muito a pena.",False
147,Srta. Sofia da Cruz,Senhora do Destino,Novela,1,"Péssimo, perdi meu tempo.",False
148,Ana Clara Jesus,Cidade de Deus,Filme,4,"Muito bom, gostei bastante.",False
149,Heloísa Sousa,Stranger Things,Série,1,"Terrível, um dos piores que já vi.",False
150,Emanuelly Souza,The Office,Série,4,"Quase perfeito, vale muito a pena.",False
151,Vitória Caldeira,Attack on Titan,Anime,5,Sensacional!,False
152,Sr. José Miguel Peixoto,Batman: O Cavaleiro das Trevas,Filme,3,Tem seus altos e baixos.,False
153,Ana Carolina Cavalcanti,Jujutsu Kaisen,Anime,1,Não recomendo de jeito nenhum.,False
154,Ana Julia Borges,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Não recomendo de jeito nenhum.,False
155,Benicio Araújo,Batman: O Cavaleiro das Trevas,Filme,4,"Quase perfeito, vale muito a pena.",False
156,Davi Lucca Peixoto,Parasita,Filme,3,Divertido para passar o tempo.,False
157,Srta. Lorena Peixoto,Death Note,Anime,1,Não recomendo de jeito nenhum.,False
158,Dra. Stella Ferreira,Senhora do Destino,Novela,3,"É ok, mas não me marcou.",False
159,Zoe Montenegro,Senhora do Destino,Novela,5,Recomendo para todo mundo!,False
160,Luiza Fogaça,Avenida Brasil,Novela,4,Surpreendeu positivamente.,False
161,Vitor da Cunha,Demon Slayer,Anime,5,Top 10 da minha vida.,False
162,Luiza Cavalcante,A Origem,Filme,5,Top 10 da minha vida.,False
163,Sra. Maya Guerra,O Senhor dos Anéis: O Retorno do Rei,Filme,5,Perfeito! Uma obra-prima.,False
164,Yuri Monteiro,Matrix,Filme,4,"Quase perfeito, vale muito a pena.",False
165,Juan Borges,Dark,Série,4,"Quase perfeito, vale muito a pena.",False
166,Maria Sophia Cardoso,Cidade de Deus,Filme,1,Muito ruim.,False
167,Sr. João Vitor Camargo,Demon Slayer,Anime,5,Recomendo para todo mundo!,False
168,Alexia Machado,Batman: O Cavaleiro das Trevas,Filme,4,"Quase perfeito, vale muito a pena.",False
169,Sarah Aparecida,Fullmetal Alchemist: Brotherhood,Anime,1,"Terrível, um dos piores que já vi.",False
170,Olivia da Rosa,Pulp Fiction,Filme,4,"Quase perfeito, vale muito a pena.",False
171,Aurora Machado,Avenida Brasil,Novela,5,"Incrível, assistiria de novo.",False
172,Isabella Souza,Avenida Brasil,Novela,2,Não funcionou pra mim.,False
173,Sr. José Pedro da Costa,O Senhor dos Anéis: O Retorno do Rei,Filme,2,"Esperava bem mais, foi uma decepção.",False
174,Emilly Farias,Stranger Things,Série,1,"Péssimo, perdi meu tempo.",False
175,Dra. Julia Cirino,O Poderoso Chefão,Filme,2,"Esperava bem mais, foi uma decepção.",False
176,Nicolas Costa,Avenida Brasil,Novela,3,Divertido para passar o tempo.,False
177,Dr. Ravi Lucca da Mata,Dark,Série,4,"Quase perfeito, vale muito a pena.",False
178,Isabel da Cunha,Naruto,Anime,1,Muito ruim.,False
179,Maysa Albuquerque,The Office,Série,2,"Esperava bem mais, foi uma decepção.",False
180,Sra. Camila da Mata,O Senhor dos Anéis: O Retorno do Rei,Filme,3,"É ok, mas não me marcou.",False
181,Luan Cunha,Attack on Titan,Anime,2,Não funcionou pra mim.,False
182,Zoe da Mota,Game of Thrones,Série,5,"Incrível, assistiria de novo.",False
183,Dra. Juliana Novaes,Stranger Things,Série,2,Não gostei muito.,False
184,Dr. Yago Vieira,Vale Tudo,Novela,5,Recomendo para todo mundo!,False
185,Luan Pires,Black Mirror,Série,2,"Esperava bem mais, foi uma decepção.",False
186,Sr. Theo Cassiano,Game of Thrones,Série,5,Recomendo para todo mundo!,False
187,Francisco Novaes,Breaking Bad,Série,2,Achei a premissa fraca.,False
188,Maria Júlia das Neves,Matrix,Filme,4,Ótima história e personagens.,False
189,Júlia Fernandes,Dark,Série,4,"Muito bom, gostei bastante.",False
190,Cecília Vieira,Pulp Fiction,Filme,2,"Esperava bem mais, foi uma decepção.",False
191,Maria Luiza Leão,O Senhor dos Anéis: O Retorno do Rei,Filme,3,"Bom, mas nada de especial.",False
192,Ana Aragão,A Viagem de Chihiro,Filme,2,Não gostei muito.,False
193,Raul Nascimento,O Poderoso Chefão,Filme,4,"Quase perfeito, vale muito a pena.",False
194,Dr. Luiz Felipe Pacheco,O Clone,Novela,3,Divertido para passar o tempo.,False
195,Maria Luiza Novais,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Não recomendo de jeito nenhum.,False
196,Caio Alves,Attack on Titan,Anime,1,Muito ruim.,False
197,Nicole da Cunha,Game of Thrones,Série,5,Perfeito! Uma obra-prima.,False
198,Maria Alice Fogaça,O Senhor dos Anéis: O Retorno do Rei,Filme,3,"É ok, mas não me marcou.",False
199,Kevin Sales,Interestelar,Filme,3,Divertido para passar o tempo.,False
200,Levi Casa Grande,Jujutsu Kaisen,Anime,4,Ótima história e personagens.,False
201,Dr. Gael Nascimento,Cidade de Deus,Filme,5,Sensacional!,False
202,Alexia da Mata,Batman: O Cavaleiro das Trevas,Filme,2,Não gostei muito.,False
203,Hellena Fonseca,A Origem,Filme,3,Divertido para passar o tempo.,False
204,Sabrina da Luz,Black Mirror,Série,1,"Terrível, um dos piores que já vi.",False
205,Otávio Araújo,O Poderoso Chefão,Filme,3,"Bom, mas nada de especial.",False
206,Hadassa Aparecida,Batman: O Cavaleiro das Trevas,Filme,5,Perfeito! Uma obra-prima.,False
207,Ana Clara Albuquerque,Breaking Bad,Série,2,Não funcionou pra mim.,False
208,Maria Luísa Machado,Interestelar,Filme,5,"Incrível, assistiria de novo.",False
209,Dra. Milena Monteiro,O Senhor dos Anéis: O Retorno do Rei,Filme,4,Ótima história e personagens.,False
210,Antônio Lima,A Viagem de Chihiro,Filme,1,"Terrível, um dos piores que já vi.",False
211,Otávio Gonçalves,Demon Slayer,Anime,2,Achei a premissa fraca.,False
212,Hadassa Silva,Stranger Things,Série,4,"Muito bom, gostei bastante.",False
213,Sara Machado,Interestelar,Filme,1,Não recomendo de jeito nenhum.,False
214,Juliana Oliveira,Attack on Titan,Anime,4,"Quase perfeito, vale muito a pena.",False
215,Joaquim Sousa,Game of Thrones,Série,1,"Terrível, um dos piores que já vi.",False
216,Rafael Camargo,Naruto,Anime,3,Divertido para passar o tempo.,False
217,Isabela Castro,O Senhor dos Anéis: O Retorno do Rei,Filme,4,"Muito bom, gostei bastante.",False
218,Heloísa Mendonça,Stranger Things,Série,5,Recomendo para todo mundo!,False
219,Alexandre Rocha,Attack on Titan,Anime,3,"Bom, mas nada de especial.",False
220,Sra. Eloá Brito,Death Note,Anime,2,Achei a premissa fraca.,False
221,Giovanna Campos,Avenida Brasil,Novela,2,Não funcionou pra mim.,False
222,Pedro Leão,Dark,Série,5,Perfeito! Uma obra-prima.,False
223,Clarice Brito,Jujutsu Kaisen,Anime,3,Divertido para passar o tempo.,False
224,Joana Dias,Demon Slayer,Anime,1,Não recomendo de jeito nenhum.,False
225,Sra. Melissa Guerra,Breaking Bad,Série,2,Achei a premissa fraca.,False
226,Maria Luiza Moraes,O Clone,Novela,1,"Péssimo, perdi meu tempo.",False
227,Otto Fogaça,Batman: O Cavaleiro das Trevas,Filme,3,Divertido para passar o tempo.,False
228,Ana Sophia Gonçalves,Vale Tudo,Novela,2,"Esperava bem mais, foi uma decepção.",False
229,Emanuella Teixeira,Cidade de Deus,Filme,1,"Péssimo, perdi meu tempo.",False
230,Natália Mendonça,Pulp Fiction,Filme,5,Recomendo para todo mundo!,False
231,Matteo Almeida,Demon Slayer,Anime,5,"Incrível, assistiria de novo.",False
232,Marcos Vinicius Farias,Jujutsu Kaisen,Anime,4,"Quase perfeito, vale muito a pena.",False
233,Henrique Cardoso,Black Mirror,Série,1,Não recomendo de jeito nenhum.,False
234,João Pedro Novais,The Office,Série,4,Surpreendeu positivamente.,False
235,Isabel Vieira,A Origem,Filme,5,Recomendo para todo mundo!,False
236,Ana Cecília Fogaça,O Clone,Novela,2,Não funcionou pra mim.,False
237,Noah Monteiro,The Office,Série,1,Muito ruim.,False
238,Heloisa Fonseca,Death Note,Anime,5,"Incrível, assistiria de novo.",False
239,João Miguel Vieira,Matrix,Filme,2,"Esperava bem mais, foi uma decepção.",False
240,Josué Carvalho,Dark,Série,2,"Esperava bem mais, foi uma decepção.",False
241,Gabrielly Garcia,A Origem,Filme,4,"Quase perfeito, vale muito a pena.",False
242,Nina Rezende,Black Mirror,Série,1,Muito ruim.,False
243,Luigi Câmara,Senhora do Destino,Novela,1,Não recomendo de jeito nenhum.,False
244,Mariane Viana,Interestelar,Filme,5,Perfeito! Uma obra-prima.,False
245,Rodrigo Marques,Jujutsu Kaisen,Anime,3,"É ok, mas não me marcou.",False
246,Lunna Cunha,Death Note,Anime,5,Top 10 da minha vida.,False
247,João Vitor Duarte,Batman: O Cavaleiro das Trevas,Filme,4,"Muito bom, gostei bastante.",False
248,Srta. Alícia Aparecida,Pulp Fiction,Filme,1,"Péssimo, perdi meu tempo.",False
249,Melissa Sales,Naruto,Anime,5,"Incrível, assistiria de novo.",False
250,Sra. Giovanna Novais,O Poderoso Chefão,Filme,1,"Péssimo, perdi meu tempo.",False
251,Davi Cavalcante,Vale Tudo,Novela,1,"Terrível, um dos piores que já vi.",False
252,Ana Liz da Cruz,Fullmetal Alchemist: Brotherhood,Anime,4,"Muito bom, gostei bastante.",False
253,Isaac Mendonça,Stranger Things,Série,3,"Bom, mas nada de especial.",False
254,Heloísa Leão,Fullmetal Alchemist: Brotherhood,Anime,5,Top 10 da minha vida.,False
255,Liam Brito,Death Note,Anime,3,Divertido para passar o tempo.,False
256,Maria Cavalcanti,Senhora do Destino,Novela,3,Tem seus altos e baixos.,False
257,Anthony Gabriel Vasconcelos,Senhora do Destino,Novela,5,Sensacional!,False
258,Dra. Cecilia Melo,Death Note,Anime,2,Não gostei muito.,False
259,Maria Vitória Oliveira,Death Note,Anime,5,"Incrível, assistiria de novo.",False
260,Melina Oliveira,Matrix,Filme,2,Não funcionou pra mim.,False
261,Thales Farias,Senhora do Destino,Novela,3,"É ok, mas não me marcou.",False
262,Henrique Teixeira,Interestelar,Filme,4,"Muito bom, gostei bastante.",False
263,Sr. Cauã Almeida,Game of Thrones,Série,1,Não recomendo de jeito nenhum.,False
264,Melina Pacheco,Breaking Bad,Série,1,"Péssimo, perdi meu tempo.",False
265,Sra. Yasmin Carvalho,Naruto,Anime,4,"Quase perfeito, vale muito a pena.",False
266,Hadassa Vargas,Stranger Things,Série,1,Muito ruim.,False
267,José Pedro Martins,Black Mirror,Série,4,Ótima história e personagens.,False
268,Levi Fernandes,O Clone,Novela,2,Achei a premissa fraca.,False
269,Kamilly da Rocha,O Clone,Novela,3,"Bom, mas nada de especial.",False
270,Juan Ribeiro,Avenida Brasil,Novela,5,Recomendo para todo mundo!,False
271,Ana Sophia Cirino,Stranger Things,Série,1,"Terrível, um dos piores que já vi.",False
272,Luísa Ferreira,Parasita,Filme,5,Top 10 da minha vida.,False
273,Evelyn Monteiro,Cidade de Deus,Filme,2,Achei a premissa fraca.,False
274,Marcos Vinicius Sampaio,Demon Slayer,Anime,1,"Terrível, um dos piores que já vi.",False
275,Clarice da Cruz,Fullmetal Alchemist: Brotherhood,Anime,5,Top 10 da minha vida.,False
276,Dra. Hellena das Neves,O Poderoso Chefão,Filme,4,"Muito bom, gostei bastante.",False
277,Brayan Vieira,A Viagem de Chihiro,Filme,3,Tem seus altos e baixos.,False
278,Davi Costa,Senhora do Destino,Novela,3,Divertido para passar o tempo.,False
279,Lunna Nascimento,A Viagem de Chihiro,Filme,5,Recomendo para todo mundo!,False
280,Maria Helena Mendonça,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Muito ruim.,False
281,Sr. Heitor Carvalho,Game of Thrones,Série,5,Sensacional!,False
282,Ana Carolina da Paz,Jujutsu Kaisen,Anime,1,"Terrível, um dos piores que já vi.",False
283,Lorena Moraes,Demon Slayer,Anime,4,"Quase perfeito, vale muito a pena.",False
284,Bernardo Albuquerque,Senhora do Destino,Novela,1,Não recomendo de jeito nenhum.,False
285,Yan Abreu,A Origem,Filme,2,"Esperava bem mais, foi uma decepção.",False
286,Lucas Gabriel Vasconcelos,Naruto,Anime,2,Achei a premissa fraca.,False
287,Carlos Eduardo Jesus,Batman: O Cavaleiro das Trevas,Filme,1,Muito ruim.,False
288,Srta. Maria Flor Martins,O Poderoso Chefão,Filme,5,Recomendo para todo mundo!,False
289,Dr. Heitor Monteiro,Attack on Titan,Anime,4,"Quase perfeito, vale muito a pena.",False
290,Davi Lucca Rezende,Senhora do Destino,Novela,3,Divertido para passar o tempo.,False
291,Rafaela Costela,O Senhor dos Anéis: O Retorno do Rei,Filme,2,"Esperava bem mais, foi uma decepção.",False
292,Yan Duarte,Interestelar,Filme,3,"É ok, mas não me marcou.",False
293,Isadora Freitas,Demon Slayer,Anime,4,Surpreendeu positivamente.,False
294,Antônio Albuquerque,Parasita,Filme,5,"Incrível, assistiria de novo.",False
295,Luna Borges,Avenida Brasil,Novela,5,Sensacional!,False
296,Antonella Cavalcanti,Parasita,Filme,2,Achei a premissa fraca.,False
297,Felipe Sampaio,A Viagem de Chihiro,Filme,2,Não gostei muito.,False
298,Amanda Jesus,A Viagem de Chihiro,Filme,4,Ótima história e personagens.,False
299,Dra. Stella Oliveira,The Office,Série,2,Achei a premissa fraca.,False
300,Gael Henrique Rodrigues,Black Mirror,Série,1,"Terrível, um dos piores que já vi.",False
301,Bella da Cruz,O Clone,Novela,3,Divertido para passar o tempo.,False
302,Lucca Souza,O Clone,Novela,5,Sensacional!,False
303,Laura Vieira,Naruto,Anime,5,Sensacional!,False
304,Sr. Yuri Mendonça,Breaking Bad,Série,4,Ótima história e personagens.,False
305,Stephany Machado,Jujutsu Kaisen,Anime,1,"Péssimo, perdi meu tempo.",False
306,Vitor Gabriel Rios,Demon Slayer,Anime,1,Não recomendo de jeito nenhum.,False
307,Dra. Heloísa da Luz,Demon Slayer,Anime,2,"Esperava bem mais, foi uma decepção.",False
308,Bruno Nascimento,O Poderoso Chefão,Filme,4,Surpreendeu positivamente.,False
309,Davi Luiz Cunha,Interestelar,Filme,2,"Esperava bem mais, foi uma decepção.",False
310,Srta. Clarice da Costa,Parasita,Filme,5,Top 10 da minha vida.,False
311,Srta. Helena Almeida,Death Note,Anime,3,Divertido para passar o tempo.,False
312,Davi Miguel Aparecida,O Poderoso Chefão,Filme,2,Não funcionou pra mim.,False
313,Mariah Carvalho,Attack on Titan,Anime,5,"Incrível, assistiria de novo.",False
314,Laís Cunha,O Clone,Novela,5,Recomendo para todo mundo!,False
315,Srta. Fernanda Câmara,Batman: O Cavaleiro das Trevas,Filme,5,"Incrível, assistiria de novo.",False
316,João Vitor Araújo,Avenida Brasil,Novela,4,"Quase perfeito, vale muito a pena.",False
317,Yasmin Fernandes,Death Note,Anime,2,Achei a premissa fraca.,False
318,Larissa Alves,Demon Slayer,Anime,5,Sensacional!,False
319,Carlos Eduardo Cirino,Demon Slayer,Anime,1,"Péssimo, perdi meu tempo.",False
320,Calebe da Conceição,Interestelar,Filme,2,Achei a premissa fraca.,False
321,Danilo Oliveira,Stranger Things,Série,4,Ótima história e personagens.,False
322,Guilherme Nogueira,Naruto,Anime,4,"Quase perfeito, vale muito a pena.",False
323,Vitor da Conceição,Naruto,Anime,1,Muito ruim.,False
